Entity Name,Address,City,Zip Code,Website
Rocky River Remedies**,3645 Front St,Wellsburg,14894,rockyriverrem.com
Root 9 Dispensary,1546 Route 9,Wappingers Falls,12590,root9dispensary.com
Royal Blend Dispensary,2223 State Route 32,Kingston,12401,royalblenddispensary.com
Royal Leaf NY LLC (dba Statis Cannabis),817 E Tremont Ave,Bronx,10460,statiscannabis.com
Royale Flower,332 Northern Blvd,Albany,12204,royaleflower.com
RR Legacy Dispensary,12 Hudson Ave,Glens Falls,12801,rrlegacydisp.com
Sage Seeds,248-15 Union Tpke,Jamaica,11426,sageseed.com
Salmon River Cannabis Company,3808 State Route 13,Pulaski,13142,salmonrivercannabis.com
Sashies Dispensary,201 Northline Rd,Ballston Spa,12020,sashiesdispensary.com
Satisfied Mind,31 Webster St,North Tonawanda,14120,wnymind.com
Secret Garden 716,1363 Delaware Ave,Buffalo,14209,secretgarden716.com
SESH NYC,4219 Webster Ave,Bronx,10470,myseshnyc.com
Sessco Cannabis Dispensary,115 Main St,Rochester,14445,sesscocannabis.com
Silk Road NYC,166-30 Jamaica Ave,Jamaica,11432,silkroadnyc.com
Silver Cannabis Company Albany,10 Executive Park Dr,Albany,12203,silver-therapeutics.com
Silver Cannabis Company Lake George,1471 State Route 9,Lake George,12845,silver-therapeutics.com
Silver Cannabis Company Saratoga Springs,75 Weibel Ave,Saratoga Springs,12866,silver-therapeutics.com/location/saratoga/
Sky High Club,129 Avenue C,New York,10009,skyhighclubnyc.com
Smacked Village,144 Bleecker St,New York,10012,getsmacked.online
Smiley Exotics,201 East 30th St,New York,10016,smileyexoticsny.com
Smokey Paradise,574 Columbia Tpke,East Greenbush,12061,smokeyparadise.com
Smoking Scholars,784 Allerton Ave,Bronx,10467,smokingscholarsnyc.com
Society House,2441 Flatbush Ave,Brooklyn,10710,societyhousebk.com
SOODAKS, INC (dba VERDI),158 W 23rd St,New York,10011,verdicannabis.com
Soulmate,237 Dekalb Ave,Brooklyn,11205,soulmatebk.com
Sparkboro,704 W 177th St,New York,10033,sparkborony.com
Stage One Cannabis LLC,810C Broadway,Rensselaer,12144,stageonedispensary.com
